,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref105,105,"""Umenishangaza""—Part I",Maalim Abdi,NA,NA,78 rpm shellac disc,A,Columbia,"CES.974, EO.2123",Swahili,PP,Y,"""Magic Notes Trade Mark.""","Title, notes, serial. "
TRUE,AD-MC-035_ref106,106,"""Umenishangaza""—Part II",Maalim Abdi,NA,NA,78 rpm shellac disc,B,Columbia,"CES.975, EO.2123",Swahili,PP,Y,"""Magic Notes Trade Mark.""","Title, serial no. "
TRUE,AD-MC-035_ref107,107,"""Uso Wa Rupia"" Part 2.",Maalim Abdi,NA,NA,78 rpm shellac disc,B,Columbia,"CES 973, EO 2110",Swahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref108,108,"""Uso Wa Rupia"" Part I.",Maalim Abdi,NA,NA,78 rpm shellac disc,A,Columbia,"CES 972, EO 2110",Swahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref109,109,(1) Hiyani! Hiyani! (2) Simba Mkali,The King’s African Rifles,Salehe Bin Juma,NA,78 rpm shellac disc,NA,Columbia,"CEI.23853, GE. 17805",Marching Songs,PP,Y,“Marching songs of the 5th Bn.”,
TRUE,AD-MC-035_ref111,111,(1) Mungu Amweke Colonel Weru (2) Ngoma ya Malini (3) Mtota Nalilia Mama!,The King’s African Rifles,Salehe Bin Juma,NA,78 rpm shellac disc,NA,Columbia,"CEI.23854, GE. 17805",Marching Songs,PP,Y,“Marching songs of the 5th Bn.”,
TRUE,AD-MC-035_ref112,112,Abalayi Bakhirana,Paulo M. Ojambo & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 54, AM 27",Samiya Bogwe,PP,Y,"""Assanand & Sons (Mombasa) LTD."" ""Guitar and Maracas”",Corrected side. 
TRUE,AD-MC-035_ref114,114,Abbas Song,Egyptian Musical Club,A. Haji,NA,78 rpm shellac disc,B,Gallotone,"ABC.13805, GB.2247",Swahili/Njuga,PP,Y,"“Leader: Bom Anderson; Singer: A. Haji” ""Music Pub. Co. of Africa.""",New Entry
TRUE,AD-MC-035_ref115,115,Ai Empologoloma,Fundi Konde & His Guitar,Traditional,ca. 1952,78 rpm shellac disc,B,Jambo,"JR. 575, EA. 245",Swahili,PP,Y,“East African Records LTD.” “From the Jambo film “Nyimbo za Kisasa.” See Harrev 1989. ,
TRUE,AD-MC-035_ref117,117,Akhafu Akhaf Indarat,Saleh Abdulla El Antari,El Antari,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAS 383, MA 241",Arabic,PP,Y,"Well known Yemeni singer. “Akhafu Akhaf In Dārat” (The Passage of the Days Worries Me). Hadrami Indian style (lawn hindī); close to the personal style of Muḥammad Jumʿa Khān (Moh’d Jarhoom). From the Hindi film song “Yeh Duniya Hai” (Jamal Hafidh). ""Made in England.""",
TRUE,AD-MC-035_ref118,118,"Alhamdulilla, Hemolo",Salim Zeydani with Arab Men,NA,NA,78 rpm shellac disc,B,Gallotone,"XYZ.5617, GB. 1579",Arabic,PP,Y,"""(Wedding songs, with drums and Clapping)."" """,New Entry!
TRUE,AD-MC-035_ref120,120,Allahu Ndie Bashiri—Part I,Sitti Bint Saad,NA,NA,78 rpm shellac disc,A,Columbia,"CES 2008, EO.2190",,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry
TRUE,AD-MC-035_ref122,122,Allahu Ndie Bashiri—Part II,Sitti Bint Saad,NA,NA,78 rpm shellac disc,B,Columbia,"CES 2009, EO.2190",Swahili,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref124,124,Baba Ananipenda,Ramathani Hasan and his guitar,Ramathani Hasan,NA,78 rpm shellac disc,A,His Master's Voice,"OAM.184, AMC. 127",Swahili,PP,Y,NA,
TRUE,AD-MC-035_ref125,125,Bahati Ya Masikini,Muhimu Baluchi,Star & Lulu Orchestra,NA,78 rpm shellac disc,NA,Columbia,"CES.10090, EOM 38",Kiswahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref126,126,Bibi Sofia,Nyameshe Kitoto Adel,NA,NA,78 rpm shellac disc,NA,Arrow,"ZD. 15, ARC 508",Swahili,PP,Y,Zaverchand (Mombasa). “Guitar & Maracas”,Serial numbers. Side.
TRUE,AD-MC-035_ref127,127,Boi,Lamu Omari,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB. 859, AM. 430",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa."" Swahili comedy. Partial translation in Eisenberg (""Swahili Art of Indian Taarab"" 2017)",New Entry
TRUE,AD-MC-035_ref129,129,Bui Kweli,Husseini & Siti Masika & Party,Lulu Orchestra,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 57, AM 29",Kiswahili,PP,Y,"""Made in Germany."" ""Assanand & Sons (Mombasa) LTD.""",New Entry! 
TRUE,AD-MC-035_ref131,131,Bul Bul,Young Novelty Club,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"AB 662, AM 331",Kiswahili,PP,Y,Assanand & Sons (Mombasa) LTD.,
