,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref342,342,Mpenzi Siku Zote Nambia,Home Boys Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1091, EA. 524",Samba,PP,Y,“East African Records LTD.” “Full Band & Vocal”,Serial no. Sides
TRUE,AD-MC-035_ref344,344,Mpenzi Wangu Kanitoka,Musa Maruf,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 773, EA. 421",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi."" Duplicated in JH.",New Entry!
TRUE,AD-MC-035_ref346,346,Mpenzi Waniumiza,Jumbe Ali,NA,NA,78 rpm shellac disc,NA,His Master's Voice,"OAF. 151, M.A.118","Swahili, Traditional",PP,Y,NA,New Entry
TRUE,AD-MC-035_ref347,347,Mpenzi Wenda Zako,Juma Bhalo & Party,NA,NA,45 rpm vinyl disc,NA,Philips,"AL 300, HL 7 - 150",Kiswahili,JH,Y,"""An Assanand & Sons (Msa) LTD. Mzuri Recording."" ""MFD by E. A. Records for Phonograph in E. Africa.""",New Entry
TRUE,AD-MC-035_ref349,349,Mtaka Mawili,Huseni & Siti Wewe,Lulu Orchestra,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 24, AM 12",Kiswahili,PP,Y,"""Made in Germany."" ""Assanand & Sons (Mombasa) LTD.""",New Entry!
TRUE,AD-MC-035_ref351,351,Mtama na Ndege,Siti Ganduri & Kibwana,NA,NA,78 rpm shellac disc,NA,Columbia,"CES 1310, EO 2172",Ki-Swahili,PP,Y,"""Magic Notes Trade Mark.""",Edited research notes. 
TRUE,AD-MC-035_ref352,352,Mtemi mfalume wize mpya,Masudi Bini Amani and Nyamwezi Women,,NA,78 rpm shellac disc,A,Gallotone,"XYZ.5098, GB.1311, RC.30",Nyamwezi,PP,Y,“Manyanga dance song with drums.”,Serial numbers. Name of song. 
TRUE,AD-MC-035_ref354,354,Muganga,Lamu Omari,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB. 854, AM. 427",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa."" Swahili comedy.",New Entry
TRUE,AD-MC-035_ref356,356,Muhibu Pokea,Siti Masika & Sulemani & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 77, AM 39",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa"" ""Made in Germany."" ""Sulemani Orchestra""",New Entry!
TRUE,AD-MC-035_ref358,358,Muhibu Sinihini,Young Novelty Club,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"AB 661, AM 331",Kiswahili,PP,Y,Assanand & Sons (Mombasa) LTD.,
TRUE,AD-MC-035_ref360,360,Muli Bwanchi,Yaseen & Mimi (Radio Singer),NA,NA,78 rpm shellac disc,NA,Columbia,"CES. 10027, EOM 19",Kiswahili,PP,Y,"""Yaseen Orchestra. Radio Singer. Yaseen Orchestra. Magic Notes Trade Mark"" Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Added period to first serial number. Added (Radio Singer) to name. 
TRUE,AD-MC-035_ref362,362,Mwana Magendo,Siti Masika & Sulemani,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 32, AM 16",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa"" ""Made in Germany."" ""Udi Taisokoto, Maracas & Drums.""",New Entry!
TRUE,AD-MC-035_ref364,364,Na Safari,Jumaine Omari & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"A.B. 130, AM. 65",Chaga/Kiswahili,PP,Y,"“Guitars & Maracas.” ""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa.""",Serial no. Notes. 
TRUE,AD-MC-035_ref366,366,Naapa Kupenda,Huseni & Party ,Lulu Orchestra,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 23, AM 12",Kiswahili,PP,Y,"""Made in Germany."" ""Assanand & Sons (Mombasa) LTD.""",New Entry!
TRUE,AD-MC-035_ref368,368,Nakupenda—Fox Trot,The Rhino Boys,NA,NA,78 rpm shellac disc,NA,His Master's Voice,"OMC.20182, N. 17108",Swahili,PP,Y,"“Directed by Jeff Seabrook.” ""Vocal Refrain by Valentine Muwuiya."" ""Arr: Jeff Seabrook.""",Moved Arr: and vocal refrain to research notes. Corrected side. Chnaged Label name. 
TRUE,AD-MC-035_ref370,370,Nalijitahidi Kutengeza Wema,Three Brothers Orchestra,NA,1955,78 rpm shellac disc,A,Trek,"XYZ.6055, DC .177, RC. 30",Swahili/Nguja,PP,Y,“Topical Song.” “Leader: A. Othmani.” Also archived in Mainz AMA.,Corrected spelling of song name
TRUE,AD-MC-035_ref372,372,Nalila Hilati,Kibwana & Party of Charlsea Club,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.4023, EO.2132",Swahili,PP,Y,"Should read: “Chelsea Club” ""Magic Notes Trademark.""",Serial no. 
TRUE,AD-MC-035_ref374,374,Namapenzi Nikupendayo,Fundi Konde & Ben,NA,NA,78 rpm shellac disc,NA,Habari,"M 773, CV 16",Swahili Duet,PP,Y,“Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,Sides
TRUE,AD-MC-035_ref376,376,Nambiyani,Siti Habu,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 405, EA. 400",Swahili,PP,Y,"""Violin, Drums, Tabla.""",New Entry!
TRUE,AD-MC-035_ref378,378,Nampenda Mpenzi,King’s Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"A.M. 14, EA. 758",Kiswahili,PP,Y,"“East African Records LTD.” “King’s Band Yaseen Orch. & Vocal.” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Safari Sounds has a similar song, claim it is their own (Jamal Hafidh).",Sides
TRUE,AD-MC-035_ref380,380,Nani Wakuchela,Mohamed Ali Bwagajuga,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1099, EA. 528",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi."" ""Guitar and Vocal.""",New Entry!
TRUE,AD-MC-035_ref382,382,Napenda,Coast Social Orchestra,NA,1950,78 rpm shellac disc,A,Gallotone,"XYZ.7657, GB.1899",Swahili/Rumba,PP,Y,"""Lead: A. Ayub Gombe."" ""At Nairobi, Kenya."" ""2.34"" Also archived in Mainz AMA.",New Entry
TRUE,AD-MC-035_ref384,384,Nasikitika,Kasanga & Yaseen Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES. 10029, EOM 17",Kiswahili,PP,Y,"“Accomp. : Kasanga Yaseen Orch.” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Added period to first serial number. Changed disc side from B to NA. 
TRUE,AD-MC-035_ref386,386,Natamani Kiss,Yaseen,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"T 0886, TR 466",Swahili,PP,Y,"“Radio Singer.” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Melody from Farid El Atrash (Jamal Hafidh).",Corrected disc side. Added underscore in first serial number. 
TRUE,AD-MC-035_ref388,388,Natamani Ua,Shaban & Party,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1556, EA. 776",Swahili,PP,Y,"“East African Records LTD.” “Mandoline, Tabler & Vocal.” “Mandolin” probably refers to tashkoto.",Corrected record side. 
TRUE,AD-MC-035_ref390,390,Natugane,Yaseen (Radio Singer),NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"T 0887, TR 466",Swahili,PP,Y,"“Radio Singer.” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Melody from Farid El Atrash (Jamal Hafidh).",Corrected disc side. Added underscore in first serial number. 
TRUE,AD-MC-035_ref392,392,Ndege Wote Wameruka,Fundi Konde/Harry Makacha/Ester Nicholas/Ben Nicholas,Fundi Konde,1958,78 rpm shellac disc,B,His Master's Voice,"OAM.465, AMC 203",Swahili,PP,Y,"Fundi Konde is not listed as composer on the record label, but the song is known to be his. ""Recording First Published in 1958."" ""Fundi Konde (guitar & vocal)/Harry Makacha (guitar)/Ester Nicholas (Vocal)/Ben Nicholas (clarinet)""",New Entry
TRUE,AD-MC-035_ref394,394,Nenda ,Siti Habu,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 404, EA. 400",Swahili,PP,Y,"""Violin, Drums, Tabla.""",New Entry!
TRUE,AD-MC-035_ref396,396,"Nenda Zako, Nimechoke",Miss Kiran & Pardesi,Fateh Ali,1935-1955,78 rpm shellac disc,NA,Young India,"T 753, SR 134",Swahili ,PP,Y,"Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive. Source song: Awaara Hun, from the film Awaara (1952).  The melody was also used by Yaseen and other singers in Mombasa.",Corrected Genre
TRUE,AD-MC-035_ref398,398,Ngoma,"King’s African Rifles, The Band of the Tanganyika Police",McLeven,,78 rpm shellac disc,,His Master's Voice,"OAM 161, AMC 59",Regimental March,PP,Y,"“Regimental March of the 6th Tanganyika Bn.” “Director of Music: Victor E. Webster; recorded in Dar es Salamaa, Tanganyika.”",
TRUE,AD-MC-035_ref402,402,Ngongo Twaingia,Jambo Boys,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1640, EA. 824",Swahili,PP,Y,"Jambo Boys members: Fadhili Williams (guitar), Mohammed (double bass), Harrison (drums), Ismael Mumba (trumpet). “East African Records LTD.” “Guitar & Vocal.”",Serial no. 
TRUE,AD-MC-035_ref404,404,Nilikisafiri,Fundi Konde & His Guitar,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 690, EA. 437",Swahili,PP,Y,“East African Records LTD.” “Piano & Drums.”,Serial no. 
TRUE,AD-MC-035_ref406,406,Nilivyo Dho Fika,Salim Lulu Orchestra & Vocal,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1599, EA. 803",Swahili,PP,Y,"""East African Records Limited.""",New Entry!
                                                                                                                                      ,AD-MC-035_ref408,408,Taqsim Hijazai,Subeit Bin Ambar,NA,ca. 1930,78 rpm shellac disc,A,Columbia,WE 25,NA,NA,,Oud. Listed on Afrodisc.com.,New Entry
TRUE,AD-MC-035_ref410,410,Nimechoka Kusubiri,Mohamed Ali Bwagajuga,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1096, EA. 527",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi."" ""Guitar and Vocal.""",New Entry!
TRUE,AD-MC-035_ref412,412,Nimeiweka Nadhiri. Part I,Subeit Bin Ambar,NA,ca. 1930,78 rpm shellac disc,A,Columbia,"W 63169, WE 51",Swahili,PP,Y,"""Tanganyika & Zanzibar Recording."" ""Magic Notes Trade Mark.""",New Entry
TRUE,AD-MC-035_ref413,413,Nimeiweka Nadhiri. Part II,Subeit Bin Ambar,NA,ca. 1930,78 rpm shellac disc,B,Columbia,"W 63170, WE 51",Swahili,PP,Y,"""Tanganyika & Zanzibar Recording."" ""Magic Notes Trade Mark.""",New Entry
TRUE,AD-MC-035_ref414,414,Nimekwenda Shela,Maulidi,NA,1952-1961,78 rpm shellac disc,A,Jambo,"JR. 234, EA.131",Swahili,PP,Y,"""Vocal, with Tabla and Harmonium accompaniment.""",New Entry!
TRUE,AD-MC-035_ref416,416,Nimeona Sura Ya,Sheela & Pardesi,Fateh Ali,1935-1955,78 rpm shellac disc,NA,Young India,"T. 754, SR. 133",Swahili Duet*,PP,Y,"Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive. ",Changed Artist Name. Added a period in the series number. Added NA to recordSide
TRUE,AD-MC-035_ref418,418,"Aupo tne mkwaju, Tucheze Ponda",Subeti Sunda with Shirazi Men,NA,NA,78 rpm shellac disc,B,Gallotone,"XYZ.5075, GB. 1254",.,PP,Y,"""Ponda dance songs with marimba xylophone""",
TRUE,AD-MC-035_ref420,420,Halambe,Uba Binti Sudi,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R 591, EA. 411",Swahili,PP,Y,"""Tarumbeta Mohamed Athumani""",New Entry!
TRUE,AD-MC-035_ref423,423,Kala Shahiri,Musa Maruf,NA,1952-1961,78 rpm shellac disc,B,Jambo,"JR.539, EA.262",Swahili/Traditional,PP,Y,"""East African Sound Studios."" ""Nairobi."" ""Vocal, with Harmonium, Tabla and Daff accompaniment.""",New Entry!
TRUE,AD-MC-035_ref425,425,Kama-Hutaki-Mambia,Musa Maruf,NA,1952-1961,78 rpm shellac disc,A,Jambo,"JR.538, EA.262",Swahili/Traditional,PP,Y,"""East African Sound Studios."" ""Nairobi."" ""Vocal, with Harmonium, Tabla and Daff accompaniment.""",New Entry!
TRUE,AD-MC-035_ref427,427,Mfua Chuma,The Band of the Tanganyika Police,Victor E. Webster,NA,78 rpm shellac disc,NA,His Master's Voice,"OAM.163, AMC. 59",Regimental March,PP,Y,"“Director of Music: Victor E. Webster; recorded in Dar es Salamaa, Tanganyika.”",Corrected Label Name. Added periods to serial numbers. 
TRUE,AD-MC-035_ref429,429,Mji Mombasa,Joseph Nazareth & The Calypso Kids,NA,NA,78 rpm shellac disc,B,Gallotone,"ABC/EA.17039, OK.511",Swahili,PP,Y,"""Exempt.""",New Entry
TRUE,AD-MC-035_ref430,430,Mutambuwa Mifano,Uba Binti Sudi,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R 590, EA. 411",Swahili,PP,Y,"""Tarumbeta Mohamed Athumani""",New Entry!
TRUE,AD-MC-035_ref433,433,Mola Akipenda,Adam Salim Trio,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.961, EO.2107","Swahili, Foxtrot",PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Notes. Serial no. 
TRUE,AD-MC-035_ref435,435,Nimepata Kinda,Osman Bin Juma,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1091, EO.2143",Swahili,PP,Y,,
TRUE,AD-MC-035_ref436,436,"Nimepiga pegi mbili, tatu",Mohomedi A. Bwagajuga,NA,ca. 1950,78 rpm shellac disc,A,Gallotone,"XYZ.6091, GB.1262, RC.30",Swahili/Nguja,PP,Y,"Singer also known as Mohamed Ali Bwagajuga. ""Humorous song, with guitar and rattles.""",Revised title spelling
TRUE,AD-MC-035_ref438,438,Nimeswalitika,Usu,Star & Lulu Orchestra,NA,78 rpm shellac disc,NA,Columbia,"CES.10091, EOM 39",Kiswahili,PP,Y,"""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref439,439,"Nimeyasadiki Mahaba, Pumbao",Three Brothers Orchestra,NA,1955,78 rpm shellac disc,B,Trek,"XYZ.6056, DC.177, RC.30",Swahili,PP,Y,"""Leader: A. Othmani.” Also archived in Mainz AMA.",Added periods in serial numbers
TRUE,AD-MC-035_ref441,441,Nine Manes Matatu,Fatuma & Party,NA,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF 216, M.A.59",Swahili Song,PP,Y,"""Made in England."" ""Traditional.""",Composer. Notes. 
TRUE,AD-MC-035_ref443,443,Nirauni,Landova Lele-Mama Band,NA,1952-1961,78 rpm shellac disc,A,Jambo,"JR.648, EA.274",Swahili,PP,Y,"""Vocal, with Trumpet and Mbiu accompaniment."" ""Traditional."" ""East African Sound Studios LTD."" ""Nairobi."" ",New Entry!
TRUE,AD-MC-035_ref445,445,Nita Kula Sumu,Yaseen & Kasanga Party,Yaseen & Party,NA,78 rpm shellac disc,NA,Columbia,"CES. 10017, EOM 12",Kiswahili,PP,Y,"""Magic Notes Trade Mark"" Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Added period to first serial number. 
TRUE,AD-MC-035_ref447,447,Nitumie Dawa ,Morogoro Jazz Band,Mharami Hamisi,NA,78 rpm shellac disc,NA,His Master's Voice,"OAM.168, AMC 69",Swahili,PP,Y,"""(Leader: Makara Kindemire)."" ""Made in England.""",New Entry! 
TRUE,AD-MC-035_ref449,449,Nura Nura,Egyptian Band,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"T 0927, TR 474",Swahili,PP,Y,"""(Leader Abbas Haji)."" ""Opel Gramophone Record Factory LTD. Kampala/Uganda, East Africa.""",New Entry
TRUE,AD-MC-035_ref453,453,Oh Buchwala,Mohamed Ali Bwagajuga,NA,1952-1961,78 rpm shellac disc,NA,Jambo,J.R. 1098,Swahili,PP,Y,"""East African Records LTD."" ""Nairobi."" ""Guitar and Vocal.""",New Entry!
TRUE,AD-MC-035_ref455,455,Oh Mama Lady,Fundi Konde & His Guitar,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 688, EA. 437",Swahili,PP,Y,"“East African Records LTD.” “Piano & Drums.” Also recorded on HMV (OAM 445, AMC 151). ",
TRUE,AD-MC-035_ref457,457,Oh! Mama Lady Oh!,Fundi Konde/R. Manus,Fundi Konde,1957,78 rpm shellac disc,A,His Master's Voice,"OAM.445, AMC 151",Swahili,PP,Y,"Also recorded on Jambo (JR 688, EA 437). “Fundi Konde (guitar & vocal), R. Manus (P. Accordeon).”",
TRUE,AD-MC-035_ref459,459,"Orio Muno, Mama (Thank you very much Mother)",Ramathani Hasan and his guitar,Ramathani Hasan,NA,78 rpm shellac disc,B,His Master's Voice,"OAM 185, AMC 127",Luhya (Bunyore),PP,Y,NA,
TRUE,AD-MC-035_ref460,460,Otiano,Zakaria & Malikus,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.10009, EOM 9",Jaluo,PP,Y,“Music by Yaseen and Party.”,Sides. Serial No.
TRUE,AD-MC-035_ref462,462,Oyango—Samba,Zakaria & Malikus,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.10010, EOM 9",Jaluo,PP,Y,“Music by Yaseen and Party.”,Sides. Serial No.
TRUE,AD-MC-035_ref464,464,Paka Cheza Rumba Part I,Kasanga & Party,NA,NA,78 rpm shellac disc,A,Columbia,"CES.10023, EOM 15","Kiswahili, Comic",PP,Y,"“Accomp. : Kasanga Yaseen Orch.” Part 1 of 2. ""Magic Notes Trademark.""",Serial no. 
TRUE,AD-MC-035_ref466,466,Paka Cheza Rumba Part II,Kasanga & Party,NA,NA,78 rpm shellac disc,B,Columbia,"CES.10024, EOM 15","Kiswahili, Comic",PP,Y,"“Accomp. : Kasanga Yaseen Orch.” Part 2 of 2. """"Magic Notes Trademark.""",Serial no. 
TRUE,AD-MC-035_ref469,469,Paskal Mjomba,Silvano Mukudi,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 45, AM 23", ,PP,Y,"""Assanand & Sons (Mombasa) LTD."" ""Guitar & Maracas”",None
TRUE,AD-MC-035_ref471,471,Pendo Na Kwambia—Part I,Sitti Bint Saad,NA,NA,78 rpm shellac disc,A,Columbia,"CES.19, EO.2182",Swahili,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref473,473,Pendo Na Kwambia—Part II,Sitti Bint Saad,NA,NA,78 rpm shellac disc,B,Columbia,"CES.20, EO.2182",Swahili,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref475,475,Penzi Penzi,Rajabu Idi/Fundi Konde,NA,1957,78 rpm shellac disc,A,His Master's Voice,"OAM.452, AMC 141",Swahili,PP,Y,"""Rajabu Idi (guitar & vocal), Fundi Konde (guitar).""",New Entry
TRUE,AD-MC-035_ref477,477,Tangu Nalipokuona,Manorma,Joseph Karanja,1935-1955,78 rpm shellac disc,NA,Young India,"T 952, SR 151",Swahili,PP,Y,"“Film Tune: ‘Munimji’.” Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive. ",No corrections
TRUE,AD-MC-035_ref479,479,Pipa,Yaseen and Mimi (Radio Singers),NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"A.B. 701, AM. 351",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Radio singers.”",Added radio singers to name. Added periods to serial numbers. 
TRUE,AD-MC-035_ref481,481,"Pole, mama Kitwana",M. A. Bwagajuga,NA,1950,78 rpm shellac disc,A,Gallotone,"XYZ.6085, GB.1261, RC.30",Swahili/Nguja,PP,Y,"Singer also known as Mohamed Ali Bwagajuga. ""Humorous love song."" Also archived in Mainz AMA.",New Entry!
TRUE,AD-MC-035_ref483,483,Popote Tufikapo,Osman Bin Juma,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1090, EO.2143",Swahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref484,484,Punguza Udhia,Young Sports Musical Club,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB.955, AM 478",Kiswahili,PP,Y,"""Assanand & Sons (Mombasa) LTD.""",Sides. Serial No.
TRUE,AD-MC-035_ref486,486,Rahat Lleli,Egyptian Club,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"A.B. 748, AM. 374",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD. Mombasa."" Title damaged. ",New Entry
TRUE,AD-MC-035_ref488,488,Salmia Mama,Young Sports Musical Club,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB.956, AM 478",Kiswahili,PP,Y,"""Assanand & Sons (Mombasa) LTD.""",Sides. Serial No.
TRUE,AD-MC-035_ref490,490,Sema Sasa,Pran,Joseph Karanja,1935-1955,78 rpm shellac disc,NA,Young India,"T 949, SR 153",Swahili,PP,Y,"“Film Tune: ‘House No. 44’.” Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive. ",
TRUE,AD-MC-035_ref492,492,Shibu Mwairo,Kasanga & Yaseen Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES. 10028, EOM 17",Kiswahili,PP,Y,"“Accomp. : Kasanga Yaseen Orch.” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Corrected Mwairu to Mwairo. Added period to first serial number. Changed disc side from A to NA. 
TRUE,AD-MC-035_ref494,494,Shimba Mbawi,Jambo Boys,NA,1952-1961,78 rpm shellac disc,B,Jambo,"J.R. 1641, EA. 824",Chaga,PP,Y,"Jambo Boys members: Fadhili Williams (guitar), Mohammed (double bass), Harrison (drums), Ismael Mumba (trumpet). “East African Records LTD.” “Guitar & Vocal.”",Serial no. 
TRUE,AD-MC-035_ref496,496,Shombo binti hasani,"Ramadhani Fataki with ""Ngoma Ya Udi""",,NA,78 rpm shellac disc,B,Gallotone,"XYZ.6100, GB.1572, RC.30",Swahili/Nguja,PP,Y,"""Rajabu Idi (guitar & vocal), Fundi Konde (guitar)."" ""Recording First Published in 1957.""",Notes
TRUE,AD-MC-035_ref498,498,Shukurani,Salum’s Brass Band,NA,NA,78 rpm shellac disc,NA,Trek,"XYZ.6061, DC. 175, RC.31","Swahili/Nguja, Swahili Rumba",PP,Y,“Leader: Salum Seliman”,Added periods. Added third serial number. 
TRUE,AD-MC-035_ref500,500,Siiwezi Tabu,Jumbe Ali,NA,NA,78 rpm shellac disc,NA,His Master's Voice,"OAF.156, M.A. 120","Swahili Song, Traditional",PP,Y,NA,New Entry
TRUE,AD-MC-035_ref501,501,Sija Furahika,Kibwana and Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1352, EO.2201",Kiswahili,PP,Y,"""Magic Notes Trade Mark.""",Serial no. 
TRUE,AD-MC-035_ref502,502,Sili nisichotamani sili ingawa ni dawa,Saadini Abdo Kandoro,NA,NA,78 rpm shellac disc,A,Gallotone,"XYZ.5113, GB.1265, RC.30",Swahili/Nguja/Mashairi (sung poem),PP,Y,NA,Title spelling. Genre
TRUE,AD-MC-035_ref503,503,Simba,Fundi Konde,Fundi Konde,NA,78 rpm shellac disc,NA,Troubadour,"1307, AFC.182",Swahili,PP,Y,"""Troubadour Records, P.O. BOX 1225 Johannesburg, SA."" ""Konde."" ""MATA.""",
TRUE,AD-MC-035_ref505,505,Simba Tukutane,Ibina-El-Watani & Party Soloist Uba Binti Sudi,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 383, EA. 184",Swahili,PP,Y,"""Ngoma""",New Entry! 
TRUE,AD-MC-035_ref506,506,"Sini kere kere, omama",The Coast Social Orchestra,NA,1952,78 rpm shellac disc,A,Gallotone,"XYZ.7296, GB.1894","Swahili/Nguja, Rumba",PP,Y,"""Leader: A. Ayub Gombe, At Nairobi, Kenya” ""3.0"" Recorded by Hugh Tracey. Featured on Colonial Dance Bands (SWP Records, 2006).","Notes, artist spelling. "
TRUE,AD-MC-035_ref508,508,Tata Kibondo,Ngoma ya Kilua,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W 63266, WE 38","Kimanyema, Native Dance Song",PP,Y,"“Tanganyika and Zanzibar Recording.” ""Magic Notes Trademark."" ","Notes, sides. "
TRUE,AD-MC-035_ref509,509,Tausi Ndege Wangu,Fundi Konde/Harry Makacha/Ester Nicholas/Ben Nicholas,Fundi Konde,1958,78 rpm shellac disc,A,His Master's Voice,"OAM.464, AMC 203",Swahili,PP,Y,"Fundi Konde is not listed as composer on the record label, but the song is known to be his. ""Recording First Published in 1958."" ""Fundi Konde (guitar & vocal)/Harry Makacha (guitar)/Ester Nicholas (Vocal)/Ben Nicholas (clarinet)""",New Entry
TRUE,AD-MC-035_ref511,511,Toka Haya Nenda—Rumba,Sitti Bint Saad,NA,NA,78 rpm shellac disc,NA,Columbia,CES.4128,Swahili,PP,Y,"Siti Binti Saad. ""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref513,513,Tororo,Musa Maruf,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 220, EA. 203",Swahili,PP,Y,"“East African Records LTD.” ""Nairobi."" “Tabla & Harmonium.”",New Entry! 
TRUE,AD-MC-035_ref515,515,Tu Tai Wacha Dunia,Jumaine Omari & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"A.B.129, AM. 65",Chaga/Kiswahili,PP,Y,"“Guitars & Maracas.” Title should read: “Tutaiwacha Dunia.” ""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa.""",
TRUE,AD-MC-035_ref517,517,Uniache Nicheze Mambo,"Gerechabo Adolf & Party, Agey Jazz Orchestra ",NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB.1025, AM 513",Congo Swahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa.""",Notes. Serial no. 
TRUE,AD-MC-035_ref519,519,Tuko Mpakani,Ibina-El-Watani & Party Soloist Uba Binti Sudi,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 382, EA. 184",Swahili,PP,Y,"""Ngoma""",New Entry! 
TRUE,AD-MC-035_ref520,520,Tulipokuwa tukipendana,Coast Social Orchestra,NA,1950,78 rpm shellac disc,B,Gallotone,"XYZ.7658, GB.1899",Swahili/Rumba,PP,Y,"""Lead: A. Ayub Gombe."" ""At Nairobi, Kenya."" ""2.42""Also archived in Mainz AMA.",New Entry
